Input,Expected,Outcome
What does my Trousers/Shorts profile require?,"The GS1 category Trousers/Shorts (10001335, Clothing) has 26 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Leg Type, Length Description, Lined, Lining Material, Pant Inseam Length, Pants/Shorts Type, Pocket Details, Prop 65, Waist Rise, Waistband Type, Wrinkle Resistant. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Necklaces/Chains/Pendants profile require?,"The GS1 category Necklaces/Chains/Pendants (10006017, Jewellery) has 6 standard extended attributes defined in the GS1 library: Metal Type, Metal Purity, Stone Type, Chain Length, Closure Type, Gender. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Rings profile require?,"The GS1 category Rings (10006018, Jewellery) has 6 standard extended attributes defined in the GS1 library: Metal Type, Metal Purity, Stone Type, Stone Cut, Ring Size System, Gender. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Earrings/Ear Cuffs profile require?,"The GS1 category Earrings/Ear Cuffs (10006019, Jewellery) has 5 standard extended attributes defined in the GS1 library: Metal Type, Metal Purity, Stone Type, Earring Fastening, Gender. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Handbags/Purses profile require?,"The GS1 category Handbags/Purses (10006030, Accessories) has 16 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Country of Origin, Convertible, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Lining Material, Prop 65. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Handwear/Gloves profile require?,"The GS1 category Handwear/Gloves (10001328, Accessories) has 17 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Convertible, Country of Origin, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Glove Type, Harmonized Tariff Schedule Code, Lining Material, Prop 65. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Headwear profile require?,"The GS1 category Headwear (10001329, Accessories) has 16 standard extended attributes defined in the GS1 library: Adjustable, Advertised Origin, Brand Name, Care Instructions Code, Country of Origin, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Hat Type, Prop 65. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Pocket Squares/Handkerchiefs profile require?,"The GS1 category Pocket Squares/Handkerchiefs (10001327, Accessories) has 16 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Consumer Item Length, Consumer Item Width, Country of Origin, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Prop 65. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Scarves/Ties/Neckwear profile require?,"The GS1 category Scarves/Ties/Neckwear (10001330, Accessories) has 18 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Consumer Item Length, Consumer Item Width, Country of Origin, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Neckwear Type, Prop 65, Scarf Type. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Belts/Braces/Cummerbunds profile require?,"The GS1 category Belts/Braces/Cummerbunds (10001326, Accessories) has 21 standard extended attributes defined in the GS1 library: Adjustable, Advertised Origin, Belt Type, Brand Name, Care Instructions Code, Closure, Consumer Item Length, Consumer Item Width, Country of Origin, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Prop 65, Reversible, Stretch. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Scarves/Wraps/Shawls profile require?,"The GS1 category Scarves/Wraps/Shawls (10006032, Accessories) has 16 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Consumer Item Length, Consumer Item Width, Country of Origin, Fabric or Material, Features - Benefits Marketing Message, Fiber, Fur Animal Name, Fur Country of Origin, Fur Treatment, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Prop 65. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Sports/Performance Tops profile require?,"The GS1 category Sports/Performance Tops (10001400, Sportswear) has 19 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Compression Level, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Hooded, Length Description, Neckline, Prop 65, Sleeve Type, Sport/Activity. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Sports/Performance Bottoms profile require?,"The GS1 category Sports/Performance Bottoms (10001401, Sportswear) has 16 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Compression Level, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Pant Inseam Length, Prop 65, Rise, Sport/Activity. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Nightwear/Pyjamas profile require?,"The GS1 category Nightwear/Pyjamas (10002100, Homewear) has 15 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Length Description, Prop 65, Sleeve Type. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What does my Robes/Dressing Gowns profile require?,"The GS1 category Robes/Dressing Gowns (10002101, Homewear) has 16 standard extended attributes defined in the GS1 library: Advertised Origin, Brand Name, Care Instructions Code, Closure, Consumer Life Stage, Country of Origin, Fabric or Material Code, Features - Benefits Marketing Message, Fiber, Gender, Global Product Classification (GPC), Harmonized Tariff Schedule Code, Length Description, Lined, Lining Material, Prop 65. All products also always carry the 8 baseline core attributes (Product ID, Product Description, GTIN code, GTIN Description, NRF Size Code, NRF Color Code, Size Description, and Color Description). Whether an active attribute profile has been created for this category should be confirmed in Attributes & Images.",generated: gs1-brick-requirements
What are the valid values for Advertised Origin?,"Valid values for Advertised Origin (per the GS1 extended attribute master code list) are: Imported, Made in Canada, Made in U.S.A., Made in U.S.A. and Imported, Made in U.S.A. or Imported, Made in another country*.",generated: gs1-code-list-values
What are the valid values for Care Instructions Code?,"Valid values for Care Instructions Code (per the GS1 extended attribute master code list) are: Dishwasher Safe, Machine Wash Hot, Do Not Iron, Machine Wash Line Dry, Dry Clean, Machine Wash Tumble Dry, Hand Wash, Machine Wash Warm, Leather Method Dry Cleaning, Spot Clean, Machine Wash Cold, Wash Separately, Machine Wash Dry Flat, Other.",generated: gs1-code-list-values
What are the valid values for Closure?,"Valid values for Closure (per the GS1 extended attribute master code list) are: Adjustable/Pull, Lace-up Front, Back, Latch, Back Button/Zip, Leverback, Back Hook/Zip, Lift-Lock, Barrel, Link/Clasp, Box Tab Insert, Lobster Claw, Buckle, Magnetic, Button, Pierced Post, Button Back, Push-Lock, Button Front, Side Button/Zip, Button Front Partial, Side Hook/Zip, Button Shoulder, Snap, Clasp, Snap Back, Click Top, Snap Front, Clip On, Snap Front Partial, Drawstring, Snap Legs, Drawstring Front, Snap Shoulder, Drawstring Elastic, Snap Post, D Ring, String, Elastic Lace with Toggle, Swivel, O Ring, Tab, Fishhook, Tie, Flap, Tie Back/Halter, Foldover, Tie Front, French Wire, Tie Side, Frog/Button Loop, Toggle, Front Button/Zip, Toggle Front, Front Hook/Zip, Top Zip, Hidden Button Front, Tunnel Side Tie, Hidden Snap Front, Turn Lock, Hidden Zip Front, Wrap, Hinged, Zipper, Hinged/Foldover, Zipper Back, Hook, Zipper Back Partial, Hook and Loop, Zipper Front, Hook-and-eye, Zipper Front Partial, Hook-and-eye Back Front, Zipper Side, Keyhole Button, Zipper Around, Kiss-Lock, 1/4 Zip, Knot, 1/2 Zip, Lace Up, Other Closure.",generated: gs1-code-list-values
What are the valid values for Fabric or Material Code?,"Valid values for Fabric or Material Code (per the GS1 extended attribute master code list) are: 14K Gold, Marble/Wood, 18K Gold, Matte Jersey, Agate, Melamine, Aluminum, Mercury Glass, Amethyst, Mesh, Anodized Aluminum, Metal, Beaded, Metal Alloy, Birthstone, Metallic, Bi-stretch, Microfiber, Bone, Microfleece, Boucle, Mikado, Brass, Mixed Materials, Broadcloth, Mogador, Brocade, Moleskin, Bronze, Mother-of-Pearl, Brushed Back Satin, Natural, Brushed Back Terry, Natural Fiber, Burlap, Nonstick, Canvas, Nubuck, Cashmink, Onyx, Cast Aluminum, Opal, Cast Iron, Organza, Ceramic, Ostrich, Challis, Ostrich Embossed, Chambray, Oxford, Charmeuse, Palladium, Chenille, Paper Braid, Chiffon/Sheer, Patent Leather, Coated Canvas, Pearl, Composite, Percale, Confetti, Pinpoint, Copper, Pique, Coral, Plastic, Corduroy, Plastic/Acetate, Corian, Plastic/Metal, Cork, Plush, Crepe, Pointelle, Crinoline, Polycarbonate, Crochet, Ponte, Crochet/Openwork, Poplin, Croco, Porcelain, Croco Embossed, Portuguese Flannel, Crystal, Propionate, Cubic Zirconia, PU, Denim, Quartz, Diamond, Rattan, Dobby, Resin, Double Knit, Rhodium, Down, Ribbon, Down Fill, Rope, Drop Needle, Saffiano, Earthenware, Sateen, Elephant Embossed, Satin, Enamel, Scuba, Enamel/Aluminum, Seagrass, Enamel/Epoxy, Seersucker, Enamel/Iron, Sequin, Enamel/Steel, Shantung, End-on-End, Shearling, Epoxy, Sheeting, Eyelet, Shell, Fabric, Silicone, Faux Fur, Sinamay, Faux Leather, Slate, Faux Pearl, Slub, Faux Shearling, Snake Embossed, Faux Suede, Snit, Felt, Stainless Steel, Flannel, Steel, Flat Knit, Sterling Silver, Fleece, Stone, Foam, Stoneware, French Terry, Straw, Fresh Water Pearl, Styrofoam, Fur, Suede, Gabardine, Sweater Yarn, Galvanized, Swiss Dot, Gauze, Synthetic, Genuine Stone, Taffeta, Georgette, Terra Cotta, Glass, Terry Cloth, Glitter, Thermal, Grenadine, Titanium, Grosgrain, Topaz, Hard Anodized, Tricot, Hatchi, Tri-Ply Stainless Steel, Heavy Gauge Steel, Tritan, High-Carbon Steel, Tulle, Hopsack, Turquoise, Howlite, Tweed, Ironstone, Tweed/Boucle, Jacquard, Twill, Jade, Velour, Jasper, Velvet, Knit (Generic), Velveteen, Knit Cable, Voile, Knit Fine Gauge, Waffle, Knit Intarsia, Wax, Knit Interlock, Wicker, Knit Jersey, Wire, Knit Ribbed, Wood, Knit/Woven, Wood Alternative, Knitted, Wool, Lace, Woven (generic), Leather, Other, Lizard Embossed, Magnesite, Magnet, Marble.",generated: gs1-code-list-values
What are the valid values for Fur Animal Name?,"Valid values for Fur Animal Name (per the GS1 extended attribute master code list) are: Australian Brushtail Possum, Otter, Beaver, Pony Hair, Calf Hair, Rabbit, Fox, Raccoon, Golden Jackal, Sable, Grey Wolf, Skunk, Marten, Other Fur Animal*, Mink.",generated: gs1-code-list-values
What are the valid values for Fur Treatment?,"Valid values for Fur Treatment (per the GS1 extended attribute master code list) are: Artificially Colored, Natural (untreated), Bleached, Painted, Dyed, Other Fur Treatment.",generated: gs1-code-list-values
What are the valid values for Gender?,"Valid values for Gender (per the GS1 extended attribute master code list) are: Female, Gender Neutral, Male.",generated: gs1-code-list-values
What are the valid values for Lining Material?,"Valid values for Lining Material (per the GS1 extended attribute master code list) are: Antimicrobial, Nylon, Cotton, Organic Material, Fabric, Polyester, Faux Fur, PU, Faux Leather, PVC, Faux Shearling, Quilted, Fleece, Shearling Lined, Gel, Sherpa, Leather, Straw, Logo Lining, Synthetic, Memory Foam, Taffeta, Mesh, Other.",generated: gs1-code-list-values
What are the valid values for Open/Closed Toe?,"Valid values for Open/Closed Toe (per the GS1 extended attribute master code list) are: Closed, Open.",generated: gs1-code-list-values
What are the valid values for Shoe Type?,"Valid values for Shoe Type (per the GS1 extended attribute master code list) are: Boots/Booties, Pumps, Clogs/Mules, Sandals, Flats, Slippers, Loafers, Sneakers, Oxfords, Other.",generated: gs1-code-list-values
What are the valid values for Sole Type?,"Valid values for Sole Type (per the GS1 extended attribute master code list) are: Leather, Rubber, Synthetic, Recycled, Natural Fiber, Other Sole Type.",generated: gs1-code-list-values
What are the valid values for Toe Shape?,"Valid values for Toe Shape (per the GS1 extended attribute master code list) are: Almond, Round, Chisel, Snip, Oblique, Square, Pointy, Other.",generated: gs1-code-list-values
What are the valid values for Toe Style?,"Valid values for Toe Style (per the GS1 extended attribute master code list) are: Apron Toe, Split Toe, Bike Toe, Steel Toe, Cap Toe, Tabi Toe, Peep Toe, Other.",generated: gs1-code-list-values
What are the valid values for Sport?,"Valid values for Sport (per the GS1 extended attribute master code list) are: Badminton, Hunting, Baseball, Lacrosse, Basketball, Racing, Bocce Ball, Racquetball, Bowling, Rowing, Boxing/Martial Arts, Running, Climbing, Skiing, Cross Country, Soccer, Cross-Training, Softball, Cycling, Tennis, Dance, Walking, Football, Water Skiing, Golf, Wrestling, Hiking, Yoga, Hockey, Other.",generated: gs1-code-list-values
What are the valid values for Consumer Life Stage?,"Valid values for Consumer Life Stage (per the GS1 extended attribute master code list) are: Adult, Teen, All Ages, Toddler, Baby/Infant, Unclassified, Child, Unidentified, Child 1-2 Years, Young Adult, Child 2 Years Onwards, Other, Preemie.",generated: gs1-code-list-values
What are the valid values for Dress Type?,"Valid values for Dress Type (per the GS1 extended attribute master code list) are: A-line, Pencil, Babydoll, Peplum, Blouson, Popover, Body-Conscious, Sheath, Caftan, Shift, Circular, Shirtdress, Dress, Skater, Drop Waist, Skort, Empire Waist, Slipdress, Faux Wrap, Sweater Dress, Flared, Tank Dress, Full Skirt, Tiered, Gown, Two Piece, Jacket Dress, Wedding, Jumper, Wrap, Maternity, Other, Mermaid/Trumpet.",generated: gs1-code-list-values
What are the valid values for Fiber?,"Valid values for Fiber (per the GS1 extended attribute master code list) are: Acetate, Paper, Acrylic, Pashmina, Alpaca, Pigskin, Angora, Pima Cotton, Bamboo, Pima Cotton Blend, Buffalo, Polyester, Cashmere, Polyester Blend, Cotton, Polyester/Cotton, Cotton Blend, Polyester/Elastane, Cotton/Cashmere, Polyester/Modal, Cotton/Elastane, Polyester/Nylon, Cotton/Lyocell, Polyester/Rayon, Cotton/Polyester, Polypropylene, Cotton/Polyester/Elastane, Polyurethane, Cotton/Rayon, PVC, Cotton/Silk, Qmiich, Cow, Raffia, Deer, Ramie, Egyptian Cotton, Rayon, Elastane, Rayon (Viscose), Flax, Rayon/Elastane, Goat, Rayon/Nylon, Hair On Hide, Rayon/Nylon/Elastane, Haircalf, Rhino, Hemp, Rubber, Horse Hair, Sheepskin, Jute, Silk, Lamb, Sisal, Lambs Wool/Nylon, Snake, Leather, Supplex, Leather/Nylon, Supplex/Elastane, Linen, Turkish Cotton, Linen/Cotton, UGG Wool, Linen/Silk, Vinyl, Lurex, Viscose, Lyocell, Wool, Metallic Yarm, Wool Blend, Microcotton, Wool/Bamboo, Microfiber, Wool/Cashmere, Modal, Wool/Elastane, Modal/Elastane, Wool/Nylon/Cashmere, Mohair, Wool/Silk, Neoprene, Other, Nylon, Nylon/Elastane, Olefin.",generated: gs1-code-list-values
What are the valid values for Gauge?,"Valid values for Gauge (per the GS1 extended attribute master code list) are: 16lbs Dozen, Opaque, Fine, Semi-Opaque, Heavy, Sheer, Heavyweight, Super Opaque, Light, Other, Medium.",generated: gs1-code-list-values
What are the valid values for Length Description?,"Valid values for Length Description (per the GS1 extended attribute master code list) are: Above Knee, Midi Short, Ankle, Mini, Basketball, Regular/Full, Below Knee, Short, Capri/Calf, Skimmer, Car, Tall, Cropped, Tea/Ballet, Extra Long, Tunic, High-Low, Waist, Knee, Walker, Long, Waltz, Maxi, Other, Mid.",generated: gs1-code-list-values
What are the valid values for Lined?,"Valid values for Lined (per the GS1 extended attribute master code list) are: Fully Lined, Other, Semi-Lined.",generated: gs1-code-list-values
What are the valid values for Sleeve Type?,"Valid values for Sleeve Type (per the GS1 extended attribute master code list) are: 1/2 Sleeve, Roll-Tab (Long to elbow/short), 1/4 sleeve, Short, 3/4 Sleeve, Sleeveless, Cap, Spaghetti Strap, Elbow, Other Sleeve Type*, Long, Roll-Tab (3/4 to short).",generated: gs1-code-list-values
What are the valid values for Coat/Jacket Type?,"Valid values for Coat/Jacket Type (per the GS1 extended attribute master code list) are: Anorak, Pant/Car Coat, Barn Coat, Parka, Blazer, Peacoat, Bolero, Poncho, Bomber, Puffer, Cape, Sportscoat, Cardigan, Swing Coat, Field Jacket, Trench, Fit & Flare, Trucker, Hoodie, Vest, Military, Windbreaker, Motorcycle, Wrap, Overcoat, Other.",generated: gs1-code-list-values
What are the valid values for Water Repellent?,"Valid values for Water Repellent (per the GS1 extended attribute master code list) are: Waterproof, Other, Water Resistant.",generated: gs1-code-list-values
